alpha CL CD CDp CM Top_Xtr Bot_Xtr
-4.000000 -0.193400 0.007600 0.001170 -0.055200 0.888900 0.131200
-3.000000 -0.084000 0.006980 0.000860 -0.054400 0.843600 0.209000
-2.000000 0.025600 0.006500 0.000660 -0.053700 0.788900 0.314800
-1.000000 0.134200 0.006010 0.000540 -0.052900 0.725600 0.479000
0.000000 0.241200 0.005630 0.000540 -0.051700 0.657200 0.681600
1.000000 0.345600 0.005490 0.000660 -0.049500 0.589400 0.857200
2.000000 0.453100 0.005790 0.000840 -0.047700 0.525900 0.965800
3.000000 0.594500 0.006380 0.001000 -0.054100 0.459600 0.994300
4.000000 0.716700 0.007010 0.001130 -0.056600 0.386300 0.999900
5.000000 0.809900 0.007950 0.001360 -0.053000 0.293200 0.999900
6.000000 0.901800 0.009340 0.001860 -0.049500 0.186200 0.999900
7.000000 0.994500 0.010970 0.002590 -0.046400 0.101900 0.999900
8.000000 1.087900 0.012560 0.003380 -0.043600 0.059000 0.999900
9.000000 1.179500 0.014190 0.004260 -0.040600 0.040200 0.999900
10.000000 1.266200 0.015980 0.005260 -0.036900 0.030700 0.999900
11.000000 1.345800 0.017910 0.006350 -0.032400 0.025200 0.999900
12.000000 1.406900 0.020300 0.007700 -0.025300 0.021600 0.999900
13.000000 1.455700 0.023640 0.009720 -0.018000 0.019100 0.999900
14.000000 1.490700 0.028520 0.012850 -0.011700 0.017200 0.999900
15.000000 1.518800 0.034930 0.017240 -0.007700 0.015800 0.999900
16.000000 1.516000 0.045840 0.025300 -0.006400 0.014800 0.999900
17.000000 1.507700 0.059140 0.035650 -0.008600 0.014000 0.999900
18.000000 1.476600 0.077030 0.050400 -0.014000 0.013400 0.999900
19.000000 1.418000 0.100430 0.071480 -0.023100 0.013000 0.999900
20.000000 1.365200 0.124450 0.096110 -0.034200 0.012700 0.999900
