alpha CL CD CDp CM Top_Xtr Bot_Xtr
-4.000000 0.127000 0.006290 0.001780 -0.142300 0.954800 0.567800
-2.000000 0.363400 0.006060 0.001510 -0.142600 0.905400 0.630000
-1.000000 0.479100 0.006240 0.001460 -0.142100 0.850000 0.645100
0.000000 0.579000 0.007680 0.001600 -0.138600 0.593900 0.654400
1.000000 0.674600 0.010270 0.002210 -0.135600 0.235800 0.661000
2.000000 0.781000 0.011580 0.002670 -0.134500 0.108200 0.666000
3.000000 0.890100 0.012590 0.003060 -0.133600 0.072100 0.670800
4.000000 0.998900 0.013550 0.003480 -0.132600 0.059500 0.675300
5.000000 1.104600 0.014590 0.004010 -0.131000 0.051500 0.680400
6.000000 1.207700 0.015720 0.004590 -0.128900 0.045400 0.685400
7.000000 1.307400 0.017020 0.005240 -0.126200 0.039600 0.690600
8.000000 1.402000 0.018470 0.006030 -0.122700 0.035100 0.696400
9.000000 1.489700 0.020140 0.006900 -0.117900 0.031700 0.702300
10.000000 1.565300 0.022180 0.007990 -0.111100 0.029300 0.708900
11.000000 1.627900 0.024430 0.009240 -0.102200 0.027500 0.715600
12.000000 1.682400 0.027620 0.011130 -0.093100 0.025900 0.722400
13.000000 1.730900 0.031240 0.013390 -0.084200 0.024700 0.730400
14.000000 1.752700 0.037160 0.017220 -0.073700 0.023700 0.737800
15.000000 1.774700 0.043670 0.021810 -0.065700 0.023000 0.745400
16.000000 1.777800 0.052980 0.028640 -0.059500 0.022400 0.753300
17.000000 1.763900 0.066310 0.039040 -0.057900 0.021700 0.760300
18.000000 1.718900 0.087280 0.056870 -0.063900 0.021300 0.766300
19.000000 1.640600 0.116960 0.086430 -0.079100 0.021100 0.770600
20.000000 1.553900 0.150450 0.128900 -0.101500 0.020800 0.774600
